Page Title,URL,Num Of Pictures,Num Of Languages,Num Of References,Num Of Contents,Num Of Tables,Num Of Categories,Num Of Redirects,Views In 30 Last Days,Avg Views Per Day,Total Views,Num Of Edits
The Short and Tragic Life of Robert Peace,https://en.wikipedia.org/wiki/The_Short_and_Tragic_Life_of_Robert_Peace,1,0,10,5,0,7,1,"1,069",62.31563422,147875,73
Earl D. Rainville,https://en.wikipedia.org/wiki/Earl_D._Rainville,3,1,5,0,0,8,1,31,3.541087231,8403,40
"Buffalo Township, Union County, Pennsylvania","https://en.wikipedia.org/wiki/Buffalo_Township,_Union_County,_Pennsylvania",3,4,5,6,0,4,2,50,5.492203961,13033,84
Starch,https://en.wikipedia.org/wiki/Starch,28,90,76,10,0,6,22,"33,829",1926.45217,4571471,"2,398"
Birmingham Book Club,https://en.wikipedia.org/wiki/Birmingham_Book_Club,1,0,10,0,0,4,0,24,2.721028234,6457,14
Sean Thompson,https://en.wikipedia.org/wiki/Sean_Thompson,2,0,1,0,0,5,0,10,0.791403287,1878,2
Francis Shadwell,https://en.wikipedia.org/wiki/Francis_Shadwell,1,0,1,0,0,6,0,11,1.309734513,3108,6
Nasofrontal duct,https://en.wikipedia.org/wiki/Nasofrontal_duct,1,0,2,0,0,2,2,51,4.557100716,10814,8
Bordeianu,https://en.wikipedia.org/wiki/Bordeianu,0,0,0,0,0,2,0,12,1.391908976,3303,4
Sébastien Aubert,https://en.wikipedia.org/wiki/S%C3%A9bastien_Aubert,1,0,5,0,0,3,1,19,3.061946903,7266,19
Dortmund Giants,https://en.wikipedia.org/wiki/Dortmund_Giants,1,2,4,4,0,5,0,61,5.728192162,13593,18
Railway electrification in Turkey,https://en.wikipedia.org/wiki/Railway_electrification_in_Turkey,1,0,4,5,0,2,0,57,6.566793089,15583,22
Heinrich Groß von Trockau,https://en.wikipedia.org/wiki/Heinrich_Gro%C3%9F_von_Trockau,2,4,2,0,1,3,4,20,2.436999579,5783,17
North and Midlands,https://en.wikipedia.org/wiki/North_and_Midlands,0,0,7,7,3,5,0,119,5.756005057,13659,98
Étrembières,https://en.wikipedia.org/wiki/%C3%89trembi%C3%A8res,4,34,2,7,0,1,1,39,5.247366203,12452,82
Vorony Sumy,https://en.wikipedia.org/wiki/Vorony_Sumy,1,3,0,0,0,2,0,11,2.016013485,4784,15
Rajim Kumbh,https://en.wikipedia.org/wiki/Rajim_Kumbh,2,1,0,9,0,4,1,423,18.52718078,43965,75
Mustafa Parmak,https://en.wikipedia.org/wiki/Mustafa_Parmak,0,2,2,0,0,7,0,9,1.667509482,3957,16
Thomas Deruette,https://en.wikipedia.org/wiki/Thomas_Deruette,1,5,2,0,0,3,1,6,1.389380531,3297,8
The Shield of Achilles,https://en.wikipedia.org/wiki/The_Shield_of_Achilles,1,0,2,4,0,8,0,"1,609",64.08849558,152082,126
"Borthwick Castle, Scottish Borders","https://en.wikipedia.org/wiki/Borthwick_Castle,_Scottish_Borders",0,0,2,4,0,1,0,33,0.90897598,2157,5
Courtieux,https://en.wikipedia.org/wiki/Courtieux,3,33,2,0,0,2,0,14,3.883270122,9215,41
Jalen Mayfield,https://en.wikipedia.org/wiki/Jalen_Mayfield,1,1,12,5,0,7,1,"2,979",19.27602191,45742,62
"Kord Kheyl, Rudpey-ye Shomali","https://en.wikipedia.org/wiki/Kord_Kheyl,_Rudpey-ye_Shomali",2,4,2,0,0,2,0,1,1.774546987,4211,5
Megalania,https://en.wikipedia.org/wiki/Megalania,6,33,21,4,0,7,16,"12,812",465.6953224,1105095,862
Fine Air,https://en.wikipedia.org/wiki/Fine_Air,6,3,11,6,0,5,2,847,51.31099874,121761,108
Pavlo Sushko,https://en.wikipedia.org/wiki/Pavlo_Sushko,1,3,8,5,0,12,2,13,0.695743784,1651,36
Thaddeus Bulgarin,https://en.wikipedia.org/wiki/Thaddeus_Bulgarin,2,19,7,0,0,10,4,117,5.0168563,11905,99
Søyr,https://en.wikipedia.org/wiki/S%C3%B8yr,1,1,4,5,0,7,1,15,2.628318584,6237,18
Kim Yeonkyung,https://en.wikipedia.org/wiki/Kim_Yeonkyung,0,0,9,4,0,8,1,18,0.371681416,882,17
Greg Davis (bowls),https://en.wikipedia.org/wiki/Greg_Davis_(bowls),1,0,4,0,0,4,0,20,0.353139486,838,9
Seminyak,https://en.wikipedia.org/wiki/Seminyak,5,7,0,0,0,5,2,798,64.63632533,153382,96
Gerald Uelmen,https://en.wikipedia.org/wiki/Gerald_Uelmen,0,1,7,0,0,10,0,"1,899",109.2962495,259360,81
Val-de-Marne's 3rd constituency,https://en.wikipedia.org/wiki/Val-de-Marne%27s_3rd_constituency,2,1,0,4,6,1,0,16,3.474083439,8244,29
Hohenheim,https://en.wikipedia.org/wiki/Hohenheim,6,7,2,6,0,1,3,472,26.63716814,63210,101
Flower Shower,https://en.wikipedia.org/wiki/Flower_Shower,1,5,16,8,2,5,1,230,10.81921618,25674,99
Thomas E. Clouston,https://en.wikipedia.org/wiki/Thomas_E._Clouston,0,0,5,0,0,4,2,4,0.662031184,1571,33
Haitian Creole vocabulary,https://en.wikipedia.org/wiki/Haitian_Creole_vocabulary,0,0,4,29,80,2,1,943,70.09144543,166327,"1,476"
Gamsam station,https://en.wikipedia.org/wiki/Gamsam_station,4,4,0,0,1,7,1,13,1.0674252,2533,19
"Linkville, Indiana","https://en.wikipedia.org/wiki/Linkville,_Indiana",0,1,3,0,0,3,0,13,3.174884113,7534,10
Sabin W. Colton,https://en.wikipedia.org/wiki/Sabin_W._Colton,2,0,0,0,0,7,4,22,2.790139064,6621,40
Macrocheles baliensis,https://en.wikipedia.org/wiki/Macrocheles_baliensis,0,0,1,0,0,3,0,3,0.565950274,1343,6
Sarrabulho,https://en.wikipedia.org/wiki/Sarrabulho,0,2,1,0,0,3,1,146,0.137800253,327,4
Nat Boxer,https://en.wikipedia.org/wiki/Nat_Boxer,2,4,3,0,0,10,1,21,5.379688158,12766,35
"Luncavița, Tulcea","https://en.wikipedia.org/wiki/Luncavi%C8%9Ba,_Tulcea",5,17,2,0,0,4,3,15,3.715971344,8818,27
Rocco Romeo,https://en.wikipedia.org/wiki/Rocco_Romeo,0,4,23,6,1,16,1,376,10.3817952,24636,141
Ted Proud,https://en.wikipedia.org/wiki/Ted_Proud,1,1,11,5,0,7,0,54,6.215760641,14750,157
Diaugasma epicharta,https://en.wikipedia.org/wiki/Diaugasma_epicharta,1,4,2,4,0,2,1,14,0.972187105,2307,32
The Bob Corwin Quartet featuring the Trumpet of Don Elliott,https://en.wikipedia.org/wiki/The_Bob_Corwin_Quartet_featuring_the_Trumpet_of_Don_Elliott,1,0,1,0,0,4,0,19,2.84997893,6763,8
Joseph Brent,https://en.wikipedia.org/wiki/Joseph_Brent,3,2,41,5,1,32,3,468,9.614412137,22815,174
Watkins Mill Town Center,https://en.wikipedia.org/wiki/Watkins_Mill_Town_Center,2,0,1,0,0,6,0,40,3.565107459,8460,27
1857 Lewisham rail crash,https://en.wikipedia.org/wiki/1857_Lewisham_rail_crash,0,2,2,0,0,9,1,77,4.076696165,9674,44
Hassan Mehmani,https://en.wikipedia.org/wiki/Hassan_Mehmani,2,3,0,6,0,7,1,11,2.949009692,6998,28
Overdrafting,https://en.wikipedia.org/wiki/Overdrafting,4,4,11,9,1,5,4,640,53.20943953,126266,112
Phop Phra District,https://en.wikipedia.org/wiki/Phop_Phra_District,3,10,4,9,0,2,1,140,5.148756848,12218,44
Ramnulfids,https://en.wikipedia.org/wiki/Ramnulfids,5,12,0,5,1,2,11,"1,190",40.55330805,96233,42
"Spruce Center, Minnesota","https://en.wikipedia.org/wiki/Spruce_Center,_Minnesota",2,0,2,0,0,3,0,8,2.333333333,5537,11
"Cleveland Township, Rowan County, North Carolina","https://en.wikipedia.org/wiki/Cleveland_Township,_Rowan_County,_North_Carolina",2,1,3,3,0,3,0,28,4.08596713,9696,36
Yuri Gareginyan,https://en.wikipedia.org/wiki/Yuri_Gareginyan,2,3,2,4,1,11,0,34,0.899283607,2134,6
Mark Hass,https://en.wikipedia.org/wiki/Mark_Hass,2,2,12,6,0,12,1,80,12.83817952,30465,123
Floyd C. Bagley,https://en.wikipedia.org/wiki/Floyd_C._Bagley,1,1,10,5,1,13,0,15,2.15507796,5114,44
Saaideh,https://en.wikipedia.org/wiki/Saaideh,4,3,1,4,0,2,2,12,0.1854193,440,8
Jordan Claire Robbins,https://en.wikipedia.org/wiki/Jordan_Claire_Robbins,0,4,5,3,2,13,3,"2,263",93.96460177,222978,31
1984 African Cup of Champions Clubs,https://en.wikipedia.org/wiki/1984_African_Cup_of_Champions_Clubs,2,8,0,9,7,2,1,199,10.15971344,24109,83
Pete Washington,https://en.wikipedia.org/wiki/Pete_Washington,2,0,2,0,0,11,1,12,1.415929204,3360,8
Stephen Noteboom,https://en.wikipedia.org/wiki/Stephen_Noteboom,0,5,0,0,2,4,1,12,3.465655289,8224,29
Swirbul,https://en.wikipedia.org/wiki/Swirbul,0,1,0,0,0,1,0,13,0.287821323,683,2
1938 College Football All-America Team,https://en.wikipedia.org/wiki/1938_College_Football_All-America_Team,0,0,8,5,1,2,0,62,5.708386009,13546,97
Syrians in Jordan,https://en.wikipedia.org/wiki/Syrians_in_Jordan,2,2,4,0,0,9,0,203,13.325748,31622,29
Market Street (York),https://en.wikipedia.org/wiki/Market_Street_(York),1,0,4,0,0,1,0,55,0.434049726,1030,10
History of the Thai Forest Tradition,https://en.wikipedia.org/wiki/History_of_the_Thai_Forest_Tradition,10,0,45,7,0,2,0,151,7.576906869,17980,48
Goon Squad (band),https://en.wikipedia.org/wiki/Goon_Squad_(band),1,0,2,0,0,2,1,104,9.155499368,21726,74
Volcanological Survey of Indonesia,https://en.wikipedia.org/wiki/Volcanological_Survey_of_Indonesia,0,2,2,0,0,3,0,394,6.220396123,14761,17
Royal British Legion,https://en.wikipedia.org/wiki/Royal_British_Legion,10,8,67,16,0,5,7,"2,196",42.27812895,100326,654
T.H. Denny House,https://en.wikipedia.org/wiki/T.H._Denny_House,4,0,2,0,0,5,0,16,2.753055204,6533,8
Phaeodactylum tricornutum,https://en.wikipedia.org/wiki/Phaeodactylum_tricornutum,2,5,10,5,0,2,0,793,36.42730721,86442,89
KOAT-TV,https://en.wikipedia.org/wiki/KOAT-TV,6,1,17,7,3,8,50,752,51.65992415,122589,521
List of Arabian Peninsula tropical cyclones,https://en.wikipedia.org/wiki/List_of_Arabian_Peninsula_tropical_cyclones,7,1,114,6,0,5,2,878,51.2642225,121650,153
Jérémy Huyghebaert,https://en.wikipedia.org/wiki/J%C3%A9r%C3%A9my_Huyghebaert,3,4,1,0,0,28,1,127,6.1348504,14558,88
Lower Fox Creek School,https://en.wikipedia.org/wiki/Lower_Fox_Creek_School,4,0,6,0,0,3,0,31,0.749262537,1778,7
Iligan Bay,https://en.wikipedia.org/wiki/Iligan_Bay,4,8,1,0,0,6,0,87,10.71175727,25419,57
Cosmological principle,https://en.wikipedia.org/wiki/Cosmological_principle,2,34,32,9,0,3,39,"5,343",178.9426886,424631,401
Collegiate secret societies in North America,https://en.wikipedia.org/wiki/Collegiate_secret_societies_in_North_America,12,2,172,9,2,3,8,"5,702",263.4496418,625166,"4,082"
Robert Arellano,https://en.wikipedia.org/wiki/Robert_Arellano,1,1,8,4,0,17,2,101,8.250316056,19578,72
1995–96 Santa Clara Broncos men's basketball team,https://en.wikipedia.org/wiki/1995%E2%80%9396_Santa_Clara_Broncos_men%27s_basketball_team,2,0,5,5,2,5,1,43,2.555836494,6065,40
Scott Donohue,https://en.wikipedia.org/wiki/Scott_Donohue,4,0,9,5,0,4,0,9,2.372524231,5630,60
Jane Armitage,https://en.wikipedia.org/wiki/Jane_Armitage,0,1,15,3,0,5,0,35,1.481247366,3515,13
Catherine Ribeiro,https://en.wikipedia.org/wiki/Catherine_Ribeiro,2,5,6,4,1,5,0,389,20.34681837,48283,51
Xavier de Maistre,https://en.wikipedia.org/wiki/Xavier_de_Maistre,2,18,3,6,0,11,1,603,34.19047619,81134,154
Petryanov filter,https://en.wikipedia.org/wiki/Petryanov_filter,2,0,3,0,0,3,1,20,2.1348504,5066,20
Herbert Brün,https://en.wikipedia.org/wiki/Herbert_Br%C3%BCn,3,4,7,6,0,11,1,152,9.576485461,22725,130
Terrorism in Tajikistan,https://en.wikipedia.org/wiki/Terrorism_in_Tajikistan,1,1,25,7,0,3,1,178,19.27349347,45736,75
1942 United States Senate elections,https://en.wikipedia.org/wiki/1942_United_States_Senate_elections,24,2,14,41,42,1,44,"1,414",23.8259587,56539,259
2007 Pattaya Women's Open – Singles,https://en.wikipedia.org/wiki/2007_Pattaya_Women%27s_Open_%E2%80%93_Singles,0,2,0,5,0,3,1,6,1.755162242,4165,28
Iris (mantis),https://en.wikipedia.org/wiki/Iris_(mantis),1,12,3,0,0,5,1,112,0.785924989,1865,29
The Palladium Book of Weapons and Castles of the Orient,https://en.wikipedia.org/wiki/The_Palladium_Book_of_Weapons_and_Castles_of_the_Orient,0,0,1,0,0,1,0,4,0.558786346,1326,2
FMO2,https://en.wikipedia.org/wiki/FMO2,10,4,7,0,0,2,1,64,6.187526338,14683,23
Arnica,https://en.wikipedia.org/wiki/Arnica,5,41,6,5,0,4,3,"9,978",541.8853772,1285894,546
Erald Deliallisi,https://en.wikipedia.org/wiki/Erald_Deliallisi,2,3,1,0,0,13,0,8,2.103244838,4991,12
2001–02 Biathlon World Cup,https://en.wikipedia.org/wiki/2001%E2%80%9302_Biathlon_World_Cup,0,9,1,8,1,4,1,438,7.008006743,16630,61
Mesa de Ramos,https://en.wikipedia.org/wiki/Mesa_de_Ramos,0,0,4,0,0,1,0,30,2.080488833,4937,10
Edward E. David Jr.,https://en.wikipedia.org/wiki/Edward_E._David_Jr.,0,1,10,5,1,10,11,225,9.196797303,21824,72
Violent Cases,https://en.wikipedia.org/wiki/Violent_Cases,3,3,1,0,0,8,0,289,16.96291614,40253,46
Sri Revanna Siddeshwara Swamy Temple,https://en.wikipedia.org/wiki/Sri_Revanna_Siddeshwara_Swamy_Temple,2,0,0,5,0,1,1,286,14.65444585,34775,30
Mara Junot,https://en.wikipedia.org/wiki/Mara_Junot,1,0,6,2,3,5,0,"4,870",33.1908976,78762,106
List of international prime ministerial trips made by Justin Trudeau,https://en.wikipedia.org/wiki/List_of_international_prime_ministerial_trips_made_by_Justin_Trudeau,14,1,50,12,9,3,0,881,49.91866835,118457,705
Michael Parsons (engineer),https://en.wikipedia.org/wiki/Michael_Parsons_(engineer),3,0,2,0,0,7,1,19,0.333333333,791,4
AI Mark IV radar,https://en.wikipedia.org/wiki/AI_Mark_IV_radar,24,1,198,8,0,5,1,370,0.603455542,1432,762
Norfolk Cemetery,https://en.wikipedia.org/wiki/Norfolk_Cemetery,2,2,3,4,0,3,0,11,0.586599241,1392,15
Facial onset sensory and motor neuropathy,https://en.wikipedia.org/wiki/Facial_onset_sensory_and_motor_neuropathy,2,0,5,5,0,2,2,92,3.645596292,8651,43
List of Marvel Comics characters: S,https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_S,2,2,248,0,0,1,10,"8,524",368.9376317,875489,"1,839"
Aaron Bancroft,https://en.wikipedia.org/wiki/Aaron_Bancroft,1,2,4,4,0,15,1,107,7.761483354,18418,93
Cylindropuntia bigelovii,https://en.wikipedia.org/wiki/Cylindropuntia_bigelovii,8,9,5,6,0,12,7,"1,087",69.57437842,165100,197
Corey-Nicolaou macrolactonization,https://en.wikipedia.org/wiki/Corey-Nicolaou_macrolactonization,2,2,2,0,0,1,0,118,0.702907712,1668,10
Wheelchair power add-on,https://en.wikipedia.org/wiki/Wheelchair_power_add-on,2,0,6,4,0,2,3,150,3.304677623,7842,44
Lai Choi San,https://en.wikipedia.org/wiki/Lai_Choi_San,2,4,7,4,0,4,0,305,24.74926254,58730,75
Percy Wells,https://en.wikipedia.org/wiki/Percy_Wells,1,2,0,0,1,10,0,21,2.869363675,6809,44
Salperton,https://en.wikipedia.org/wiki/Salperton,5,2,5,4,0,4,0,115,5.807416772,13781,40
6-Methylsalicylic acid,https://en.wikipedia.org/wiki/6-Methylsalicylic_acid,2,2,1,0,0,2,2,66,3.874841972,9195,9
2014–15 Belarusian Cup,https://en.wikipedia.org/wiki/2014%E2%80%9315_Belarusian_Cup,0,9,0,10,3,4,2,12,8.353560893,19823,102
Edward Kelly (painter),https://en.wikipedia.org/wiki/Edward_Kelly_(painter),0,0,15,0,0,9,1,33,4.100716393,9731,58
Thomas Abt,https://en.wikipedia.org/wiki/Thomas_Abt,1,0,9,6,0,7,0,121,2.85672145,6779,50
Michael Whelan,https://en.wikipedia.org/wiki/Michael_Whelan,2,13,15,7,0,16,5,"5,790",101.2996207,240384,369
30th Delaware General Assembly,https://en.wikipedia.org/wiki/30th_Delaware_General_Assembly,1,0,0,4,0,3,1,6,1.779603877,4223,22
Ellen Gustafson,https://en.wikipedia.org/wiki/Ellen_Gustafson,0,3,16,5,0,4,2,71,7.175726928,17028,44
Zoltán Venczel,https://en.wikipedia.org/wiki/Zolt%C3%A1n_Venczel,2,1,1,0,1,8,2,3,1.920353982,4557,10
There Will Be Time,https://en.wikipedia.org/wiki/There_Will_Be_Time,1,5,1,4,0,7,1,333,23.25621576,55187,36
Medial eye fields,https://en.wikipedia.org/wiki/Medial_eye_fields,3,0,2,0,0,3,0,28,3.286135693,7798,22
Julián Velázquez y Llorente,https://en.wikipedia.org/wiki/Juli%C3%A1n_Vel%C3%A1zquez_y_Llorente,2,1,1,0,0,10,1,2,1.427307206,3387,11
Garden Island (Ontario),https://en.wikipedia.org/wiki/Garden_Island_(Ontario),2,2,7,4,0,3,1,89,7.753055204,18398,84
The London Paper,https://en.wikipedia.org/wiki/The_London_Paper,2,3,6,7,0,7,3,237,16.80025284,39867,157
Achrastenus,https://en.wikipedia.org/wiki/Achrastenus,0,2,4,0,0,2,0,6,0.744205647,1766,6
Microvirga arabica,https://en.wikipedia.org/wiki/Microvirga_arabica,0,0,5,0,0,3,0,10,0.726085124,1723,11
"Altınova, Karaisalı","https://en.wikipedia.org/wiki/Alt%C4%B1nova,_Karaisal%C4%B1",1,6,1,0,0,2,1,4,2.149599663,5101,20
1992–93 FIBA European Championship Regular Season Group A,https://en.wikipedia.org/wiki/1992%E2%80%9393_FIBA_European_Championship_Regular_Season_Group_A,0,0,0,2,2,8,4,4,0.82300885,1953,22
TRNA (cytidine56-2'-O)-methyltransferase,https://en.wikipedia.org/wiki/TRNA_(cytidine56-2%27-O)-methyltransferase,2,2,2,0,0,2,7,4,1.933839022,4589,15
Magnum Berhad,https://en.wikipedia.org/wiki/Magnum_Berhad,0,2,3,0,0,4,1,674,21.69152971,51474,50
Argenton-les-Vallées,https://en.wikipedia.org/wiki/Argenton-les-Vall%C3%A9es,5,27,4,0,0,3,6,37,4.13822166,9820,53
Leopard Pro Cycling,https://en.wikipedia.org/wiki/Leopard_Pro_Cycling,2,5,3,4,0,3,2,110,8.387273493,19903,51
Neuropeptide FF receptor,https://en.wikipedia.org/wiki/Neuropeptide_FF_receptor,1,2,11,3,0,4,3,54,10.59165613,25134,30
GAS6,https://en.wikipedia.org/wiki/GAS6,12,3,8,4,0,2,1,883,27.2132322,64577,53
Arthur Gore (cricketer),https://en.wikipedia.org/wiki/Arthur_Gore_(cricketer),0,2,18,5,0,6,0,2,1.241045091,2945,14
Richard Scruggs,https://en.wikipedia.org/wiki/Richard_Scruggs,1,1,42,6,0,17,3,"1,934",97.49093974,231346,334
Autodrome de Linas-Montlhéry,https://en.wikipedia.org/wiki/Autodrome_de_Linas-Montlh%C3%A9ry,3,10,4,7,0,5,5,"2,121",43.47113359,103157,124
Igor Prins,https://en.wikipedia.org/wiki/Igor_Prins,0,6,1,4,0,15,0,42,5.718499789,13570,46
Chehra (1946 film),https://en.wikipedia.org/wiki/Chehra_(1946_film),1,1,2,0,0,9,0,20,2.770754319,6575,16
The Trail of Blood,https://en.wikipedia.org/wiki/The_Trail_of_Blood,2,4,1,0,0,5,2,919,42.14917826,100020,124
2015 Epsom Derby,https://en.wikipedia.org/wiki/2015_Epsom_Derby,14,0,32,7,1,6,0,101,11.0897598,26316,118
Date with the Angels,https://en.wikipedia.org/wiki/Date_with_the_Angels,0,1,1,5,2,7,3,709,22.85672145,54239,81
Los Llanos de Tormes,https://en.wikipedia.org/wiki/Los_Llanos_de_Tormes,8,33,1,0,0,2,3,11,2.762747577,6556,43
National Basketball Retired Players Association,https://en.wikipedia.org/wiki/National_Basketball_Retired_Players_Association,0,0,12,8,0,12,2,118,11.2979351,26810,70
Silverio Blasi,https://en.wikipedia.org/wiki/Silverio_Blasi,2,6,3,0,0,12,0,13,2.897597977,6876,25
José Javier Curto Gines,https://en.wikipedia.org/wiki/Jos%C3%A9_Javier_Curto_Gines,4,3,1,0,0,11,2,9,1.95448799,4638,14
Mountain of Love,https://en.wikipedia.org/wiki/Mountain_of_Love,1,0,18,2,2,16,2,652,38.31774126,90928,147
Rochester Travelers Hotel,https://en.wikipedia.org/wiki/Rochester_Travelers_Hotel,1,0,2,0,0,3,3,25,3.0842815,7319,9
"Engine House No. 8 (Baltimore, Maryland)","https://en.wikipedia.org/wiki/Engine_House_No._8_(Baltimore,_Maryland)",5,0,2,0,0,8,0,20,2.823851665,6701,49
Bryden Gwiss Kiwenzie,https://en.wikipedia.org/wiki/Bryden_Gwiss_Kiwenzie,0,0,4,0,0,12,0,19,3.16013485,7499,38
1977 San Diego Padres season,https://en.wikipedia.org/wiki/1977_San_Diego_Padres_season,0,0,12,7,9,3,0,45,8.383902233,19895,70
SNHU Arena,https://en.wikipedia.org/wiki/SNHU_Arena,7,7,13,6,0,10,4,930,47.2975137,112237,401
Abderus,https://en.wikipedia.org/wiki/Abderus,0,30,8,4,0,8,1,"2,491",50.55330805,119963,120
"Terence Burns, Baron Burns","https://en.wikipedia.org/wiki/Terence_Burns,_Baron_Burns",3,3,20,9,1,15,2,522,30.63801096,72704,162
1891–92 British Home Championship,https://en.wikipedia.org/wiki/1891%E2%80%9392_British_Home_Championship,1,7,3,4,2,8,2,41,5.143699958,12206,64
Great Crayfish River,https://en.wikipedia.org/wiki/Great_Crayfish_River,0,2,0,0,0,3,0,15,1.686894227,4003,6
The Last Supper (Jim Gaffigan album),https://en.wikipedia.org/wiki/The_Last_Supper_(Jim_Gaffigan_album),3,0,2,0,0,5,1,143,5.969237252,14165,29
1990 Greenlandic Men's Football Championship,https://en.wikipedia.org/wiki/1990_Greenlandic_Men%27s_Football_Championship,0,3,1,6,13,4,0,6,1.431099874,3396,10
The Sickness (novel),https://en.wikipedia.org/wiki/The_Sickness_(novel),2,1,1,4,1,4,1,198,7.769068689,18436,98
Futuro–Maxxis Pro Cycling,https://en.wikipedia.org/wiki/Futuro%E2%80%93Maxxis_Pro_Cycling,1,0,1,0,0,3,1,11,0.741255794,1759,7
Gary Conway,https://en.wikipedia.org/wiki/Gary_Conway,2,9,7,4,0,9,3,"6,132",163.933839,389015,198
Cladoselache,https://en.wikipedia.org/wiki/Cladoselache,3,19,1,5,0,2,3,"1,324",59.09903076,140242,180
"Vick, Arkansas","https://en.wikipedia.org/wiki/Vick,_Arkansas",1,1,8,4,0,3,1,20,2.431099874,5769,37
Road Up Raritan Historic District,https://en.wikipedia.org/wiki/Road_Up_Raritan_Historic_District,17,0,9,0,1,8,1,55,3.94774547,9368,105
SAAO Library,https://en.wikipedia.org/wiki/SAAO_Library,2,0,3,4,0,2,1,30,2.198061525,5216,43
Singrist,https://en.wikipedia.org/wiki/Singrist,4,36,3,0,0,3,0,16,2.432785504,5773,50
2013 Pacific Mini Games,https://en.wikipedia.org/wiki/2013_Pacific_Mini_Games,7,5,3,7,3,7,0,51,9.734091867,23099,87
Chicken Shack Boogie,https://en.wikipedia.org/wiki/Chicken_Shack_Boogie,0,1,3,0,0,4,0,104,7.561736199,17944,32
2013 Swansea measles epidemic,https://en.wikipedia.org/wiki/2013_Swansea_measles_epidemic,0,1,12,4,1,11,4,257,17.0282343,40408,95
Ted Honderich,https://en.wikipedia.org/wiki/Ted_Honderich,1,5,4,15,0,58,0,447,36.92583228,87625,229
Gotham Sidings,https://en.wikipedia.org/wiki/Gotham_Sidings,0,0,2,0,0,1,0,21,3.351032448,7952,16
6th Air Group,https://en.wikipedia.org/wiki/6th_Air_Group,1,1,19,4,0,3,0,75,1.060261273,2516,34
Cecil Greenwood Hare,https://en.wikipedia.org/wiki/Cecil_Greenwood_Hare,2,0,13,0,0,5,0,16,2.958702065,7021,46
Banda Nihag,https://en.wikipedia.org/wiki/Banda_Nihag,2,2,0,0,0,5,1,3,1.651917404,3920,21
Joshua Malina,https://en.wikipedia.org/wiki/Joshua_Malina,1,23,27,6,0,17,7,"42,384",705.5372946,1674240,454
Pakihi,https://en.wikipedia.org/wiki/Pakihi,7,0,12,7,0,5,1,71,1.463126844,3472,26
LaTasha Colander,https://en.wikipedia.org/wiki/LaTasha_Colander,6,15,2,0,1,20,3,101,12.35103245,29309,124
National Press Club (Pakistan),https://en.wikipedia.org/wiki/National_Press_Club_(Pakistan),1,0,1,0,0,4,1,110,4.80446692,11401,39
Cocktail bun,https://en.wikipedia.org/wiki/Cocktail_bun,8,7,2,6,0,6,2,656,38.09355247,90396,103
1975–76 Manchester United F.C. season,https://en.wikipedia.org/wiki/1975%E2%80%9376_Manchester_United_F.C._season,0,3,2,5,5,2,1,756,26.86767804,63757,59
"St. Michael's Catholic Academy (Travis County, Texas)","https://en.wikipedia.org/wiki/St._Michael%27s_Catholic_Academy_(Travis_County,_Texas)",3,1,8,0,0,4,2,106,3.126843658,7420,347
"Orange Township, Clinton County, Iowa","https://en.wikipedia.org/wiki/Orange_Township,_Clinton_County,_Iowa",2,8,1,5,0,4,0,10,2.827644332,6710,22
Rosemary Vrablic,https://en.wikipedia.org/wiki/Rosemary_Vrablic,0,0,12,3,0,7,1,"1,135",53.14959966,126124,101
"Sue, West Virginia","https://en.wikipedia.org/wiki/Sue,_West_Virginia",3,0,1,0,0,3,0,4,2.030762748,4819,11
Yaesu Chikagai,https://en.wikipedia.org/wiki/Yaesu_Chikagai,3,1,1,0,0,4,0,70,1.690686894,4012,13
"James Reid (footballer, born 1990)","https://en.wikipedia.org/wiki/James_Reid_(footballer,_born_1990)",1,2,10,3,0,18,1,61,9.504846186,22555,132
Iver Johnson AMAC-1500,https://en.wikipedia.org/wiki/Iver_Johnson_AMAC-1500,1,0,14,7,0,4,0,338,26.75010535,63478,60
Hanriot LH.30,https://en.wikipedia.org/wiki/Hanriot_LH.30,0,0,1,0,0,4,0,12,0.796038769,1889,6
Palmencrona,https://en.wikipedia.org/wiki/Palmencrona,1,1,3,0,0,1,0,6,1.157184998,2746,10
Ray Nkonyeni Local Municipality,https://en.wikipedia.org/wiki/Ray_Nkonyeni_Local_Municipality,2,5,4,0,1,2,0,486,11.4327855,27130,16
Rockafellows Mill Bridge,https://en.wikipedia.org/wiki/Rockafellows_Mill_Bridge,7,0,4,5,0,14,0,24,0.363253266,862,2
Yangbajain,https://en.wikipedia.org/wiki/Yangbajain,12,10,7,5,0,3,4,114,10.22418879,24262,110
Roundway Hospital,https://en.wikipedia.org/wiki/Roundway_Hospital,2,0,8,3,0,7,1,165,9.335018963,22152,61
Sanae Agalmam,https://en.wikipedia.org/wiki/Sanae_Agalmam,1,2,9,0,0,7,0,10,0.719764012,1708,28
Errol Stevens,https://en.wikipedia.org/wiki/Errol_Stevens,0,6,5,4,0,18,1,374,19.23514539,45645,202
Abaiara,https://en.wikipedia.org/wiki/Abaiara,4,24,1,7,0,2,0,11,5.283185841,12537,88
Alexander of Aphrodisias,https://en.wikipedia.org/wiki/Alexander_of_Aphrodisias,4,34,27,7,0,7,3,"1,115",55.14496418,130859,212
